"","HHMMSS","PARi","Photo"
"133","09:42:39",23.69601631,1.087249346
"134","09:42:44",22.56767654,1.098588327
"135","09:42:50",21.43180275,1.067875289
"136","09:42:55",20.92580986,1.029565604
"137","09:43:01",20.96231842,1.032333378
"138","09:43:06",20.57357407,1.055537752
"139","09:43:12",19.12758827,1.084441109
"140","09:43:17",16.82141113,1.02798149
"141","09:43:22",14.82883167,0.969847093
"142","09:43:28",13.15848351,0.930569112
"143","09:43:33",11.84528923,0.977771175
"144","09:43:39",9.955199242,0.964860228
"145","09:43:44",8.084354401,0.900439022
"146","09:43:50",6.343084812,0.797359987
"147","09:43:55",5.531084538,0.711865595
"148","09:44:01",4.72062397,0.589604722
"149","09:44:06",4.572906971,0.525388016
"150","09:44:11",4.558715343,0.517976436
"151","09:44:17",4.564529419,0.482005985
"152","09:44:22",4.563346386,0.360457753
"153","09:44:28",4.585801601,0.155656994
"154","09:44:33",4.629790783,-0.010404171
"155","09:44:39",4.640818596,-0.002893517
"156","09:44:44",4.643976688,0.072811379
"157","09:44:50",4.65987587,0.125860179
"158","09:44:55",4.655795097,0.135888855
"159","09:45:01",4.64588356,0.183505268
"160","09:45:06",4.639706135,0.21879962
"161","09:45:12",4.642217159,0.214028994
"162","09:45:17",4.659695625,0.265734676
"163","09:45:23",4.668551445,0.293079754
"164","09:45:28",4.682168007,0.290153986
"165","09:45:34",4.734107018,0.2416248
"166","09:45:39",4.743887901,0.220777234
"167","09:45:45",4.748651505,0.24529929
"168","09:45:50",4.710499763,0.279928024
"169","09:45:56",4.678731918,0.265785423
"170","09:46:01",4.646568775,0.209226533
"171","09:46:06",4.644237041,0.153520966
"172","09:46:12",4.649553299,0.163179081
"173","09:46:17",4.67424345,0.188031202
"174","09:46:23",4.707644463,0.203275442
"175","09:46:28",4.724962711,0.161369048
"176","09:46:34",4.708130836,0.144628966
"177","09:46:39",4.705843925,0.186462286
"178","09:46:44",4.678431511,0.216910037
"179","09:46:50",4.651168346,0.2059145
"180","09:46:55",4.643375397,0.152574499
"181","09:47:01",4.660876274,0.133938581
"182","09:47:06",4.659613132,0.129342077
"183","09:47:12",4.657248497,0.143978757
"184","09:47:17",4.646193504,0.162036312
"185","09:47:23",4.657334328,0.12396289
"186","09:47:28",4.656051636,0.056830938
"187","09:47:34",4.644892693,0.01329023
"188","09:47:39",4.608702183,0.050481157
"189","09:47:45",4.611468792,0.100471267
"190","09:47:50",4.633504391,0.14462745
"191","09:47:55",4.65728569,0.187147719
"192","09:48:01",4.646159649,0.052296604
"193","09:48:06",4.65099287,-0.322976826
"194","09:48:12",4.686525345,-0.466871367
"195","09:48:17",4.704013348,-0.033826702
"196","09:48:23",4.699936867,0.471171191
"197","09:48:28",4.691225052,0.599825891
"198","09:48:34",4.695065022,0.36688691
"199","09:48:39",4.674330711,0.098892153
"200","09:48:45",4.663507938,-0.068226387
"201","09:48:50",4.667448521,-0.03963452
"202","09:48:56",4.670987606,-0.025308335
"203","09:49:01",4.645938873,-0.078235377
"204","09:49:07",4.654953003,-0.105886961
"205","09:49:12",4.648470402,0.029594856
"206","09:49:18",4.641103745,0.261012846
"207","09:49:23",4.660730839,0.437630483
"208","09:49:29",4.706585884,0.425201898
"209","09:49:34",4.714725018,0.214227573
"210","09:49:40",4.73208046,0.049823705
"211","09:49:45",4.71330595,-0.067814655
"212","09:49:50",4.688505173,-0.078914133
"213","09:49:56",4.675422668,-0.016486127
"214","09:50:01",4.666818142,0.047696277
"215","09:50:07",4.660770893,0.073896623
"216","09:50:12",4.657626152,0.11066863
"217","09:50:18",4.664708138,0.169073573
"218","09:50:23",4.670637131,0.177305557
"219","09:50:29",4.673114777,0.069442174
"220","09:50:34",4.658037186,0.019933817
"221","09:50:40",4.640293121,0.035310488
"222","09:50:45",4.62711525,0.124344833
"223","09:50:51",4.649096966,0.103524738
"224","09:50:56",4.688003063,0.138439737
"225","09:51:02",4.689848423,0.170472774
"226","09:51:07",4.711110592,0.17520125
"227","09:51:13",4.746291161,0.124221445
"228","09:51:18",4.759830475,0.110936342
"229","09:51:24",4.739834785,0.145035351
"230","09:51:29",4.699399948,0.126678126
"231","09:51:34",4.685360432,0.109145921
"232","09:51:39",4.690220833,0.09332551
"233","09:51:45",4.705069065,0.119513244
"234","09:51:50",4.693118572,0.147198607
"235","09:51:56",4.658843517,0.174137142
"236","09:52:01",4.619038105,0.150665292
"237","09:52:07",4.625706196,0.106902452
"238","09:52:12",4.671308041,0.111012801
"239","09:52:18",4.701862812,0.131649558
"240","09:52:23",4.712071896,0.105945896
"241","09:52:29",4.738610744,0.073130563
"242","09:52:34",4.762257099,0.08488847
"243","09:52:40",4.77358532,0.082276562
"244","09:52:45",4.764853001,0.087965612
"245","09:52:51",4.76777029,0.109396422
"246","09:52:56",4.757858276,0.173021258
"247","09:53:02",4.736444473,0.193032657
"248","09:53:07",4.706730843,0.145650087
"249","09:53:13",4.68289566,0.097724824
"250","09:53:18",4.6743536,0.098760639
"251","09:53:23",4.673672676,0.108428117
"252","09:53:29",4.679433823,0.121255067
"253","09:53:34",4.733091354,0.1208774
"254","09:53:40",4.76736021,0.170268839
"255","09:53:45",4.783230305,0.216722501
"256","09:53:51",4.744630337,0.238494016
"257","09:53:56",4.695028305,0.234601319
"258","09:54:02",4.674272537,0.206784106
"259","09:54:07",4.684866905,0.166390507
"260","09:54:13",4.716052532,0.104443982
"261","09:54:18",4.717573166,0.140217351
"262","09:54:24",4.688727856,0.16682853
"263","09:54:29",4.716869831,0.160333906
"264","09:54:35",4.74048233,0.079997282
"265","09:54:40",4.744015694,0.083811957
"266","09:54:46",4.721581459,0.115950565
"267","09:54:51",4.687396526,0.106122453
"268","09:54:57",4.670041084,0.092369653
"269","09:55:02",4.698543072,0.081737596
"270","09:55:08",4.708086967,0.134762555
"271","09:55:13",4.709600925,0.181403658
"272","09:55:18",4.708952427,0.212541172
"273","09:55:24",4.69903326,0.170541419
"274","09:55:29",4.665608883,0.097542767
"275","09:55:35",4.684574127,0.092291431
"276","09:55:40",4.704508305,0.137641737
"277","09:55:46",4.732638359,0.198834033
"278","09:55:51",4.755362988,0.170289416
"279","09:55:57",4.776987553,0.141722862
"280","09:56:02",4.790503502,0.116374416
"281","09:56:08",4.798792839,0.155416449
"282","09:56:13",4.791456699,0.189145029
"283","09:56:18",4.781797886,0.222832615
"284","09:56:24",4.734258652,0.207842303
"285","09:56:29",4.697167397,0.156717571
"286","09:56:35",4.690391064,0.103454276
"287","09:56:40",4.718732834,0.12349994
"288","09:56:46",4.702910423,0.135205006
"289","09:56:51",4.692505836,0.126005898
"290","09:56:57",4.683520794,0.122783208
"291","09:57:02",4.671882629,0.158101363
