"unique_ID","Date","Time","Temp"
"6B2","2016-07-02","15:29:28",12.69
"6B2","2016-07-02","21:29:28",12.98
"6B2","2016-07-03","03:29:28",12.497
"6B2","2016-07-03","09:29:28",12.11
"6B2","2016-07-03","15:29:28",12.401
"6B2","2016-07-03","21:29:28",12.401
"6B2","2016-07-04","03:29:28",12.013
"6B2","2016-07-04","09:29:28",11.722
"6B2","2016-07-04","15:29:28",12.11
"6B2","2016-07-04","21:29:28",12.401
"6B2","2016-07-05","03:29:28",11.916
"6B2","2016-07-05","09:29:28",11.528
"6B2","2016-07-05","15:29:28",12.013
"6B2","2016-07-05","21:29:28",12.401
"6B2","2016-07-06","03:29:28",11.916
"6B2","2016-07-06","09:29:28",11.625
"6B2","2016-07-06","15:29:28",11.819
"6B2","2016-07-06","21:29:28",11.916
"6B2","2016-07-07","03:29:28",11.528
"6B2","2016-07-07","09:29:28",11.236
"6B2","2016-07-07","15:29:28",11.528
"6B2","2016-07-07","21:29:28",11.819
"6B2","2016-07-08","03:29:28",11.236
"6B2","2016-07-08","09:29:28",10.651
"6B2","2016-07-08","15:29:28",11.334
"6B2","2016-07-08","21:29:28",11.722
"6B2","2016-07-09","03:29:28",11.236
"6B2","2016-07-09","09:29:28",10.748
"6B2","2016-07-09","15:29:28",11.334
"6B2","2016-07-09","21:29:28",11.722
"6B2","2016-07-10","03:29:28",11.528
"6B2","2016-07-10","09:29:28",11.236
"6B2","2016-07-10","15:29:28",11.722
"6B2","2016-07-10","21:29:28",12.013
"6B2","2016-07-11","03:29:28",11.625
"6B2","2016-07-11","09:29:28",11.625
"6B2","2016-07-11","15:29:28",12.304
"6B2","2016-07-11","21:29:28",12.69
"6B2","2016-07-12","03:29:28",12.497
"6B2","2016-07-12","09:29:28",12.304
"6B2","2016-07-12","15:29:28",12.594
"6B2","2016-07-12","21:29:28",12.69
"6B2","2016-07-13","03:29:28",12.497
"6B2","2016-07-13","09:29:28",12.304
"6B2","2016-07-13","15:29:28",12.401
"6B2","2016-07-13","21:29:28",12.401
"6B2","2016-07-14","03:29:28",12.207
"6B2","2016-07-14","09:29:28",12.013
"6B2","2016-07-14","15:29:28",12.207
"6B2","2016-07-14","21:29:28",12.401
"6B2","2016-07-15","03:29:28",12.11
"6B2","2016-07-15","09:29:28",11.819
"6B2","2016-07-15","15:29:28",11.916
"6B2","2016-07-15","21:29:28",12.207
"6B2","2016-07-16","03:29:28",11.916
"6B2","2016-07-16","09:29:28",11.528
"6B2","2016-07-16","15:29:28",12.013
"6B2","2016-07-16","21:29:28",12.304
"6B2","2016-07-17","03:29:28",12.11
"6B2","2016-07-17","09:29:28",11.722
"6B2","2016-07-17","15:29:28",12.013
"6B2","2016-07-17","21:29:28",12.207
"6B2","2016-07-18","03:29:28",12.013
"6B2","2016-07-18","09:29:28",11.722
"6B2","2016-07-18","15:29:28",11.819
"6B2","2016-07-18","21:29:28",12.207
"6B2","2016-07-19","03:29:28",11.625
"6B2","2016-07-19","09:29:28",11.041
"6B2","2016-07-19","15:29:28",11.625
"6B2","2016-07-19","21:29:28",12.013
"6B2","2016-07-20","03:29:28",11.722
"6B2","2016-07-20","09:29:28",11.334
"6B2","2016-07-20","15:29:28",11.916
"6B2","2016-07-20","21:29:28",12.401
"6B2","2016-07-21","03:29:28",12.207
"6B2","2016-07-21","09:29:28",12.11
"6B2","2016-07-21","15:29:28",13.076
"6B2","2016-07-21","21:29:28",13.654
"6B2","2016-07-22","03:29:28",13.365
"6B2","2016-07-22","09:29:28",13.076
"6B2","2016-07-22","15:29:28",13.654
"6B2","2016-07-22","21:29:28",14.038
"6B2","2016-07-23","03:29:28",13.75
"6B2","2016-07-23","09:29:28",13.461
"6B2","2016-07-23","15:29:28",13.942
"6B2","2016-07-23","21:29:28",14.325
"6B2","2016-07-24","03:29:28",14.134
"6B2","2016-07-24","09:29:28",13.942
"6B2","2016-07-24","15:29:28",14.325
"6B2","2016-07-24","21:29:28",14.517
"6B2","2016-07-25","03:29:28",14.038
"6B2","2016-07-25","09:29:28",13.558
