"Track.n." "Slice.n." "X" "Y" "Distance" "Velocity" "Pixel.Value" "Treat" "Replica" "was.disp" "ID" "time"
"79" 2 19 5098 3182 "109.041" 10.904 -5660551 1 1 0 1102 190
"80" 2 20 5085 3234 "53.600" 5.36 -5466272 1 1 0 1102 200
"81" 2 21 4906 3276 "183.861" 18.386 -4146287 1 1 0 1102 210
"82" 2 22 4872 3264 "36.056" 3.606 -4148346 1 1 0 1102 220
"83" 2 23 4586 3379 "308.255" 30.825 -4871556 1 1 0 1102 230
"84" 2 24 4270 3677 "434.350" 43.435 -5265282 1 1 0 1102 240
"85" 2 25 4343 3793 "137.058" 13.706 -2699323 1 1 0 1102 250
"86" 2 26 4416 3835 "84.220" 8.422 -4213081 1 1 0 1102 260
"87" 2 27 4501 3874 "93.520" 9.352 -3948361 1 1 0 1102 270
"88" 2 28 4582 3916 "91.241" 9.124 -6186117 1 1 0 1102 280
"89" 2 29 4706 3912 "124.064" 12.406 -6383490 1 1 0 1102 290
"90" 2 30 4838 3814 "164.402" 16.44 -5002348 1 1 0 1102 300
"91" 2 31 5132 3818 "294.027" 29.403 -4871035 1 1 0 1102 310
"92" 2 32 5230 3780 "105.109" 10.511 -6318224 1 1 0 1102 320
"93" 2 33 5243 3805 "28.178" 2.818 -6645884 1 1 0 1102 330
"94" 2 34 5256 3805 "13.000" 1.3 -3487818 1 1 0 1102 340
"95" 2 35 5239 3878 "74.953" 7.495 -6317695 1 1 0 1102 350
"96" 2 36 5081 3908 "160.823" 16.082 -5267864 1 1 0 1102 360
"97" 2 37 4957 3703 "239.585" 23.959 -4212596 1 1 0 1102 370
"98" 2 38 4727 3780 "242.547" 24.255 -5135500 1 1 0 1102 380
"99" 2 39 4590 3865 "161.227" 16.123 -6320292 1 1 0 1102 390
"100" 2 40 4424 3857 "166.193" 16.619 -5266060 1 1 0 1102 400
"101" 2 41 3908 3874 "516.280" 51.628 -5791878 1 1 0 1102 410
"102" 2 42 3605 3891 "303.477" 30.348 -4937859 1 1 0 1102 420
"103" 2 43 3456 3643 "289.318" 28.932 -4475266 1 1 0 1102 430
"104" 2 44 3400 3396 "253.269" 25.327 -4738424 1 1 0 1102 440
"105" 2 45 3144 3229 "305.655" 30.566 -5531028 1 1 0 1102 450
"106" 2 46 2837 3345 "328.184" 32.818 -4937095 1 1 0 1102 460
"107" 2 47 2436 3520 "437.523" 43.752 -5661834 1 1 0 1102 470
"108" 2 48 2240 3891 "419.591" 41.959 -2303285 1 1 0 1102 480
"109" 2 49 1770 3874 "470.307" 47.031 -4475766 1 1 0 1102 490
"110" 2 50 1250 3716 "543.474" 54.347 -7765149 1 1 0 1102 500
"111" 2 51 1262 3370 "346.208" 34.621 -7108504 1 1 0 1102 510
"112" 2 52 1245 2658 "712.203" 71.22 -6515335 1 1 0 1102 520
"113" 2 53 1459 2133 "566.940" 56.694 -6646409 1 1 0 1102 530
"114" 2 54 1480 1907 "226.974" 22.697 -5002086 1 1 0 1102 540
"115" 2 55 1885 1595 "511.243" 51.124 -6317182 1 1 0 1102 550
"116" 2 56 2321 1292 "530.947" 53.095 -6382977 1 1 0 1102 560
"117" 2 57 2666 1642 "491.452" 49.145 -4211539 1 1 0 1102 570
"118" 2 58 2867 2082 "483.737" 48.374 -2830155 1 1 0 1102 580
"119" 2 59 3212 2274 "394.828" 39.483 -4474454 1 1 0 1102 590
"120" 2 60 3460 2449 "303.528" 30.353 -3685967 1 1 0 1102 600
"121" 3 1 5256 3669 "-1.000" -1 -4343141 1 1 0 1103 10
"122" 3 2 5230 2666 "1.003.337" 100.334 -4868960 1 1 0 1103 20
"123" 3 3 5260 2798 "135.366" 13.537 -6054535 1 1 0 1103 30
"124" 3 4 5282 3494 "696.348" 69.635 -5199202 1 1 0 1103 40
"125" 3 5 5141 3950 "477.302" 47.73 -7305621 1 1 0 1103 50
"126" 3 6 4420 3938 "721.100" 72.11 -6122646 1 1 0 1103 60
"127" 3 7 3776 3677 "694.879" 69.488 -3490174 1 1 0 1103 70
"128" 3 8 3665 3520 "192.276" 19.228 -4607365 1 1 0 1103 80
"129" 3 9 3456 3251 "340.649" 34.065 -5659264 1 1 0 1103 90
"130" 3 10 4339 2585 "1.106.004" 110.6 -4015201 1 1 0 1103 100
"131" 3 11 4445 2666 "133.405" 13.341 -4543345 1 1 0 1103 110
"132" 3 12 4736 2858 "348.633" 34.863 -2699080 1 1 0 1103 120
"133" 3 13 5145 3515 "773.906" 77.391 -5728907 1 1 0 1103 130
"134" 3 14 5009 3904 "412.089" 41.209 -4014952 1 1 0 1103 140
"135" 3 15 4160 2606 "1.551.001" 155.1 -4212329 1 1 0 1103 150
"136" 3 16 4637 1301 "1.389.444" 138.944 -5398905 1 1 0 1103 160
"137" 3 17 5277 1143 "659.215" 65.921 -5069950 1 1 0 1103 170
"138" 3 18 5230 1621 "480.305" 48.031 -4737385 1 1 0 1103 180
"139" 3 19 5107 2231 "622.277" 62.228 -5988738 1 1 0 1103 190
"140" 3 20 5077 3093 "862.522" 86.252 -5330790 1 1 0 1103 200
"141" 3 21 4902 3281 "256.844" 25.684 -4937869 1 1 0 1103 210
"142" 3 22 4859 3276 "43.290" 4.329 -5465271 1 1 0 1103 220
"143" 3 23 4582 3379 "295.530" 29.553 -5003401 1 1 0 1103 230
"144" 3 24 4258 3677 "440.204" 44.02 -3293036 1 1 0 1103 240
"145" 3 25 4339 3793 "141.481" 14.148 -3488845 1 1 0 1103 250
"146" 3 26 4407 3831 "77.897" 7.79 -4475489 1 1 0 1103 260
"147" 3 27 4471 3857 "69.080" 6.908 -4541035 1 1 0 1103 270
"148" 3 28 4569 3895 "105.109" 10.511 -7372190 1 1 0 1103 280
"149" 3 29 4701 3891 "132.061" 13.206 -6848669 1 1 0 1103 290
"150" 3 30 4825 3814 "145.962" 14.596 -5265019 1 1 0 1103 300
"151" 3 31 5128 3814 "303.000" 30.3 -3619941 1 1 0 1103 310
"152" 3 32 5235 3810 "107.075" 10.707 -4869485 1 1 0 1103 320
"153" 3 33 5265 3814 "30.265" 3.027 -2370115 1 1 0 1103 330
"154" 3 34 5243 3776 "43.909" 4.391 -5001049 1 1 0 1103 340
"155" 3 35 5243 3886 "110.000" 11 -3819619 1 1 0 1103 350
"156" 3 36 5077 3895 "166.244" 16.624 -6187162 1 1 0 1103 360
"157" 3 37 4936 3690 "248.809" 24.881 -3426430 1 1 0 1103 370
"158" 3 38 4727 3793 "233.002" 23.3 -6386317 1 1 0 1103 380
"159" 3 39 4586 3865 "158.319" 15.832 -5793170 1 1 0 1103 390
"160" 3 40 4428 3852 "158.534" 15.853 -4935549 1 1 0 1103 400
"161" 3 41 3933 3886 "496.166" 49.617 -6847139 1 1 0 1103 410
"162" 3 42 3622 3895 "311.130" 31.113 -7834034 1 1 0 1103 420
"163" 3 43 3434 3635 "320.849" 32.085 -4279682 1 1 0 1103 430
"164" 3 44 3392 3387 "251.531" 25.153 -5990547 1 1 0 1103 440
"165" 3 45 3157 3221 "287.717" 28.772 -4408946 1 1 0 1103 450
"166" 3 46 2845 3340 "333.924" 33.392 -6713744 1 1 0 1103 460
"167" 3 47 2440 3520 "443.199" 44.32 -6649239 1 1 0 1103 470
"168" 3 48 2244 3895 "423.132" 42.313 -2369854 1 1 0 1103 480
"169" 3 49 1779 3899 "465.017" 46.502 -10925515 1 1 0 1103 490
"170" 3 50 1262 3724 "545.815" 54.581 -5330048 1 1 0 1103 500
"171" 3 51 1271 3396 "328.123" 32.812 -5264756 1 1 0 1103 510
"172" 3 52 1241 2658 "738.610" 73.861 -7042198 1 1 0 1103 520
"173" 3 53 1463 2150 "554.390" 55.439 -4211040 1 1 0 1103 530
"174" 3 54 1450 1911 "239.353" 23.935 -4409197 1 1 0 1103 540
"175" 3 55 1873 1600 "525.024" 52.502 -5592693 1 1 0 1103 550
"176" 3 56 2329 1292 "550.273" 55.027 -6317443 1 1 0 1103 560
"177" 3 57 2662 1638 "480.213" 48.021 -5857396 1 1 0 1103 570
"178" 3 58 2867 2073 "480.885" 48.088 -5265007 1 1 0 1103 580
"179" 3 59 3208 2286 "402.057" 40.206 -4936034 1 1 0 1103 590
"180" 3 60 3447 2457 "293.874" 29.387 -3226463 1 1 0 1103 600
"181" 4 1 4091 3281 "-1.000" -1 -3950977 1 1 0 1104 10
"182" 4 2 4074 3289 "18.788" 1.879 -5924230 1 1 0 1104 20
"183" 4 3 4070 3276 "13.601" 1.36 -5265544 1 1 0 1104 30
"184" 4 4 4066 3285 "9.849" 0.985 -5331863 1 1 0 1104 40
"185" 4 5 4066 3285 "0.000" 0 -6056093 1 1 0 1104 50
"186" 4 6 4066 3285 "0.000" 0 -5858201 1 1 0 1104 60
"187" 4 7 4066 3285 "0.000" 0 -5331863 1 1 0 1104 70
"188" 4 8 4066 3285 "0.000" 0 -5529494 1 1 0 1104 80
"189" 4 9 4066 3285 "0.000" 0 -5661593 1 1 0 1104 90
"190" 4 10 4066 3285 "0.000" 0 -5397650 1 1 0 1104 100
"191" 4 11 4066 3285 "0.000" 0 -5528718 1 1 0 1104 110
"192" 4 12 4066 3285 "0.000" 0 -5332368 1 1 0 1104 120
"193" 4 13 4074 3281 "8.944" 0.894 -4279188 1 1 0 1104 130
"194" 4 14 4074 3281 "0.000" 0 -4082830 1 1 0 1104 140
"195" 4 15 4074 3281 "0.000" 0 -4213394 1 1 0 1104 150
"196" 4 16 4074 3281 "0.000" 0 -4213644 1 1 0 1104 160
"197" 4 17 4074 3281 "0.000" 0 -4147853 1 1 0 1104 170
"198" 4 18 4074 3281 "0.000" 0 -4411276 1 1 0 1104 180
"199" 4 19 4074 3281 "0.000" 0 -4147340 1 1 0 1104 190
"200" 4 20 4074 3281 "0.000" 0 -4412046 1 1 0 1104 200
"201" 4 21 4074 3281 "0.000" 0 -4411021 1 1 0 1104 210
"202" 4 22 4074 3281 "0.000" 0 -4542350 1 1 0 1104 220
"203" 4 23 4074 3281 "0.000" 0 -4147599 1 1 0 1104 230
"204" 4 24 4074 3281 "0.000" 0 -4344717 1 1 0 1104 240
"205" 4 25 4074 3281 "0.000" 0 -4017294 1 1 0 1104 250
"206" 4 26 4074 3281 "0.000" 0 -4476303 1 1 0 1104 260
"207" 4 27 4074 3281 "0.000" 0 -4214164 1 1 0 1104 270
"208" 4 28 4074 3281 "0.000" 0 -4543379 1 1 0 1104 280
"209" 4 29 4074 3281 "0.000" 0 -4346000 1 1 0 1104 290
"210" 4 30 4074 3281 "0.000" 0 -4346002 1 1 0 1104 300
"211" 4 31 4074 3281 "0.000" 0 -4214414 1 1 0 1104 310
"212" 4 32 4074 3281 "0.000" 0 -4411025 1 1 0 1104 320
"213" 4 33 4074 3281 "0.000" 0 -4608402 1 1 0 1104 330
"214" 4 34 4074 3281 "0.000" 0 -4739986 1 1 0 1104 340
"215" 4 35 4074 3281 "0.000" 0 -4542609 1 1 0 1104 350
"216" 4 36 4074 3281 "0.000" 0 -4674193 1 1 0 1104 360
"217" 4 37 4074 3281 "0.000" 0 -4214675 1 1 0 1104 370
"218" 4 38 4074 3281 "0.000" 0 -4673423 1 1 0 1104 380
"219" 4 39 4074 3281 "0.000" 0 -4476556 1 1 0 1104 390
"220" 4 40 4074 3281 "0.000" 0 -4542607 1 1 0 1104 400
"221" 4 41 4074 3281 "0.000" 0 -4412303 1 1 0 1104 410
"222" 4 42 4074 3281 "0.000" 0 -4741009 1 1 0 1104 420
"223" 4 43 4074 3281 "0.000" 0 -4543630 1 1 0 1104 430
"224" 4 44 4074 3281 "0.000" 0 -4346253 1 1 0 1104 440
"225" 4 45 4074 3281 "0.000" 0 -4805268 1 1 0 1104 450
"226" 4 46 4074 3281 "0.000" 0 -4609425 1 1 0 1104 460
"227" 4 47 4074 3281 "0.000" 0 -4739729 1 1 0 1104 470
"228" 4 48 4074 3281 "0.000" 0 -4542096 1 1 0 1104 480
"229" 4 49 4074 3281 "0.000" 0 -5002898 1 1 0 1104 490
"230" 4 50 4074 3281 "0.000" 0 -4477837 1 1 0 1104 500
"231" 4 51 4074 3281 "0.000" 0 -4871825 1 1 0 1104 510
"232" 4 52 4074 3281 "0.000" 0 -4871312 1 1 0 1104 520
"233" 4 53 4074 3281 "0.000" 0 -4675214 1 1 0 1104 530
"234" 4 54 4074 3281 "0.000" 0 -4543377 1 1 0 1104 540
"235" 4 55 4074 3281 "0.000" 0 -4871825 1 1 0 1104 550
"236" 4 56 4074 3281 "0.000" 0 -4411528 1 1 0 1104 560
