"dec_lon","dec_lat","gps","plot","species","dbh_cm","height_m","dbh_height"
15.48384,-2.502475,"137_2_1","elephants","HA",11.2,2.8,0.602059991327962
15.482724,-2.501448,"138_1_1","elephants","HA",14.5,5,0.462397997898956
15.483907,-2.502543,"138_2_1","elephants","HA",11,4.2,0.418143394760325
15.482752,-2.501521,"139_1_1","elephants","HA",15,5.4,0.443697499232713
15.484013,-2.502377,"139_2_1","elephants","HA",10.8,2.8,0.586265724144731
15.483,-2.504896,"14_2_1","elephants","HA",10.6,1.8,0.770033360161464
15.482661,-2.50177,"140_1_1","elephants","HA",10,4.4,0.356547323513813
15.483855,-2.502334,"140_2_1","elephants","HA",11,4,0.439332693830263
15.482623,-2.501796,"141_1_1","elephants","HA",13,4.6,0.451185520625263
15.483812,-2.50236,"141_2_1","elephants","HA",11.5,3.8,0.480914243736802
15.482676,-2.501802,"142_1_1","elephants","HA",14,3.8,0.566344439061428
15.483809,-2.502339,"142_2_1","elephants","HA",13.5,4.2,0.507084478097106
15.482658,-2.501859,"143_1_1","elephants","HA",18.8,4.4,0.630705172777492
15.483752,-2.502367,"143_2_1","elephants","HA",10.9,4.4,0.393973821454436
15.482746,-2.501777,"144_1_1","elephants","HA",11,3.2,0.536242706838319
15.48376,-2.502037,"144_2_1","elephants","HA",12,3.6,0.522878745280338
15.482938,-2.501902,"145_1_1","elephants","HA",13,5.2,0.397940008672038
15.483744,-2.502068,"145_2_1","elephants","HA",17,4.2,0.607199630980373
15.482973,-2.501873,"146_1_1","elephants","HA",12.4,3,0.616300430442573
15.483916,-2.502086,"146_2_1","elephants","HA",10.7,2.8,0.58222574634299
15.483041,-2.501878,"147_1_1","elephants","HA",14.2,3.4,0.620809427340801
15.484005,-2.502042,"147_2_1","elephants","HA",12.3,3.2,0.584755133119492
15.483058,-2.501913,"148_1_1","elephants","HA",12.6,3.2,0.595220566797657
15.483912,-2.501912,"148_2_1","elephants","HA",15.5,4.8,0.509090460794704
15.482719,-2.502034,"149_1_1","elephants","HA",14.3,4.8,0.474094800089475
15.483914,-2.50189,"149_2_1","elephants","HA",13.3,3,0.646730386247423
15.483046,-2.504904,"15_2_1","elephants","HA",9.3,4.4,0.325030272067748
15.482691,-2.501975,"150_1_1","elephants","HA",22,4.6,0.679664849140632
15.484071,-2.501808,"150_2_1","elephants","HA",14.2,3.8,0.572504747766246
15.482564,-2.502058,"151_1_1","elephants","HA",12.8,3.4,0.575731052605613
15.483665,-2.501816,"151_2_1","elephants","HA",12.5,4,0.494850021680094
15.482443,-2.502064,"152_1_1","elephants","HA",11.6,5.2,0.348454645592119
